Price($),Brand,Model,Year,Title_Status,Mileage,Color,Vin,Lot,State,Country,Time_Left_Hours,Time_Left_Days
18500,Infiniti,Q70,2016,Clean Vehicle,71967,Gray,  Jn1By1Ar7Gm271292,167801920,New York, USA,19.0,0.79
29800,Chevrolet,Camaro,1973,Clean Vehicle,46226,Red,  1Q87T3N166389,167763370,Pennsylvania, USA,22.0,0.92
5330,Ford,MPV,2017,Clean Vehicle,37792,No_Color,  2Fmpk3J9Xhbb56401,167656127,Texas, USA,48.0,2.0
13000,Ford,Convertible,2003,Clean Vehicle,58817,Gray,  1Fahp60A63Y107799,167754173,Virginia, USA,22.0,0.92
11900,GMC,Doors,2017,Clean Vehicle,27965,Black,  1Gks2Gkc2Hr328793,167692507,California, USA,20.0,0.83
16600,Mercedes-Benz,Vans,2016,Clean Vehicle,110907,White,  8Btpe7Dd4Ge127040,167802259,New York, USA,19.0,0.79
19200,Chevrolet,1500,2018,Clean Vehicle,2430,White,  1Gcncneh5Jz302471,167763391,Tennessee, USA,22.0,0.92
7320,Ford,MPV,2017,Clean Vehicle,32366,Gold,  2Fmpk4K96Hbb16692,167656128,Texas, USA,48.0,2.0
7000,Ford,Pickup,2003,Clean Vehicle,176567,White,  1Ftnx20P73Ed69682,167754187,Tennessee, USA,22.0,0.92
12710,GMC,Doors,2017,Clean Vehicle,30049,White,  1Gks2Gkc6Hr325461,167692508,California, USA,20.0,0.83
16600,Mercedes-Benz,Vans,2016,Clean Vehicle,97983,White,  Wd4Pe7Dd1Gp253504,167802269,New York, USA,19.0,0.79
30500,Chevrolet,1500,2018,Clean Vehicle,30442,Red,  3Gcukrec4Jg204915,167763393,Tennessee, USA,22.0,0.92
6330,Ford,MPV,2017,Clean Vehicle,38123,Red,  2Fmpk3J85Hbb79415,167656129,Texas, USA,48.0,2.0
55000,Ford,Single Rear Wheel,2017,Clean Vehicle,15273,Black,  1Ft7W3Bt5Hee88155,167754310,Pennsylvania, USA,72.0,3.0
12520,GMC,Doors,2017,Clean Vehicle,28972,Black,  1Gks2Gkcxhr324555,167692509,California, USA,20.0,0.83
16200,Jeep,Compass,2019,Clean Vehicle,30061,Red,  3C4Njccb3Kt676336,167802530,North Carolina, USA,48.0,2.0
19000,Chevrolet,Malibu,2017,Clean Vehicle,18414,White,  1G1Zh5Sx9Hf118136,167763675,Tennessee, USA,22.0,0.92
5580,Dodge,MPV,2017,Clean Vehicle,46829,Gray,  3C4Pddeg7Ht595704,167656130,Texas, USA,48.0,2.0
54000,Ford,Single Rear Wheel,2017,Clean Vehicle,26241,Black,  1Ft7W3Bt0Hef02785,167754311,Pennsylvania, USA,72.0,3.0
12710,GMC,MPV,2017,Clean Vehicle,39886,Red,  1Gks2Bkc7Hr133811,167692513,California, USA,20.0,0.83
16000,Jeep,Compass,2019,Clean Vehicle,31594,Silver,  3C4Njccb0Kt676343,167802531,North Carolina, USA,48.0,2.0
27000,Buick,Enclave,2017,Clean Vehicle,32107,No_Color,  5Gakrckdxhj113512,167763677,Tennessee, USA,22.0,0.92
7760,Ford,MPV,2017,Clean Vehicle,44794,Gray,  2Fmpk4J87Hbb21750,167656131,Texas, USA,48.0,2.0
19600,Chrysler,300,2019,Clean Vehicle,42648,Gray,  2C3Ccabgxkh559658,167754404,South Carolina, USA,22.0,0.92
12920,GMC,MPV,2017,Clean Vehicle,39165,Silver,  1Gks2Bkc6Hr134450,167692514,California, USA,20.0,0.83
20000,Jeep,Cherokee,2019,Clean Vehicle,38355,Charcoal,  1C4Pjmbx6Kd298806,167802532,North Carolina, USA,48.0,2.0
18100,Buick,Doors,2017,Clean Vehicle,46766,Silver,  1G4Zp5Ss8Hu149142,167763681,Florida, USA,48.0,2.0
23000,Chrysler,Pacifica,2020,Clean Vehicle,2473,White,  2C4Rc1Fg5Lr143335,167656205,Ohio, USA,48.0,2.0
18500,Chrysler,300,2019,Clean Vehicle,38586,Gray,  2C3Ccaeg5Kh585628,167754410,South Carolina, USA,22.0,0.92
13490,GMC,Doors,2017,Clean Vehicle,27842,White,  1Gks2Gkc0Hr323625,167692515,California, USA,20.0,0.83
20700,Jeep,Cherokee,2019,Clean Vehicle,31156,White,  1C4Pjmbx2Kd360704,167802533,North Carolina, USA,48.0,2.0
17800,Chevrolet,Doors,2017,Clean Vehicle,52435,Black,  1G1Fb1Rsxh0185712,167763683,Florida, USA,22.0,0.92
6650,Ford,Doors,2017,Clean Vehicle,29942,Black,  1Fmcu0Gd8Huc93883,167656254,Texas, USA,48.0,2.0
29100,Chrysler,Pacifica,2019,Clean Vehicle,25281,Red,  2C4Rc1Gg3Kr730663,167754412,South Carolina, USA,22.0,0.92
12710,GMC,Doors,2017,Clean Vehicle,32504,Silver,  1Gks2Gkc6Hr327937,167692524,California, USA,20.0,0.83
21100,Jeep,Cherokee,2019,Clean Vehicle,28649,Silver,  1C4Pjmbx6Kd298174,167802534,North Carolina, USA,48.0,2.0
18600,Chevrolet,Doors,2017,Clean Vehicle,35200,White,  1G1Fb1Rsxh0104806,167763684,Florida, USA,22.0,0.92
4340,Ford,Doors,2017,Clean Vehicle,25602,Silver,  1Fmcu0Gd7Huc86259,167656255,Texas, USA,48.0,2.0
19300,Chrysler,300,2019,Clean Vehicle,34801,Gray,  2C3Ccakg4Kh594972,167754413,South Carolina, USA,22.0,0.92
12780,GMC,Doors,2017,Clean Vehicle,31009,Black,  1Gks2Gkc7Hr321306,167692525,California, USA,20.0,0.83
15800,Jeep,Compass,2019,Clean Vehicle,35595,Charcoal,  3C4Njccb4Kt662767,167802541,North Carolina, USA,48.0,2.0
29400,BMW,X3,2017,Clean Vehicle,23765,Black,  5Uxwx7C3Xh0U44145,167763685,Tennessee, USA,22.0,0.92
4430,Ford,Doors,2017,Clean Vehicle,31792,Black,  1Fmcu0Gd9Huc37922,167656256,Texas, USA,48.0,2.0
19400,Chrysler,300,2019,Clean Vehicle,33135,Gray,  2C3Ccakg6Kh578112,167754417,South Carolina, USA,22.0,0.92
12520,GMC,Doors,2017,Clean Vehicle,30636,Red,  1Gks2Gkcxhr323969,167692526,California, USA,20.0,0.83
15900,Jeep,Compass,2019,Clean Vehicle,34502,Red,  3C4Njccb7Kt660088,167802543,North Carolina, USA,48.0,2.0
26400,Buick,Doors,2017,Clean Vehicle,25434,White,  5Gakvckd2Hj308564,167763690,Florida, USA,22.0,0.92
4140,Ford,Doors,2017,Clean Vehicle,36732,Black,  1Fmcu0Gd5Hud08310,167656257,Texas, USA,48.0,2.0
18300,Chrysler,300,2019,Clean Vehicle,41792,Gray,  2C3Ccaeg0Kh555632,167754420,South Carolina, USA,22.0,0.92
12520,GMC,Doors,2017,Clean Vehicle,31992,Black,  1Gks2Gkcxhr328718,167692527,California, USA,20.0,0.83
17900,Jeep,Compass,2019,Clean Vehicle,32501,Red,  3C4Njddb7Kt682015,167802544,North Carolina, USA,48.0,2.0
18300,Chevrolet,Camaro,2017,Clean Vehicle,28395,Black,  1G1Fb3Dx5H0143964,167763691,Florida, USA,22.0,0.92
4640,Ford,Doors,2017,Clean Vehicle,36139,Blue,  1Fmcu0G95Huc13712,167656258,Texas, USA,48.0,2.0
24000,Ford,Doors,2016,Clean Vehicle,84413,Black,  1Ftfw1Ef1Gfb13670,167754527,Pennsylvania, USA,72.0,3.0
13200,GMC,Doors,2017,Clean Vehicle,33457,White,  1Gks2Gkc5Hr326410,167692528,California, USA,20.0,0.83
18000,Jeep,Compass,2019,Clean Vehicle,29245,Gray,  3C4Njddb0Kt686052,167802545,North Carolina, USA,48.0,2.0
14900,Chevrolet,Equinox,2017,Clean Vehicle,12783,Silver,  2Gnalcek7H1548351,167763692,Florida, USA,22.0,0.92
4140,Ford,Doors,2017,Clean Vehicle,17617,White,  1Fmcu0Gd5Huc78080,167656259,Texas, USA,48.0,2.0
11500,Ford,Doors,2016,Clean Vehicle,36855,Black,  1Fmcu9Gx9Gua57286,167754531,Pennsylvania, USA,48.0,2.0
9110,Ford,Doors,2017,Clean Vehicle,110316,White,  1Ftfw1Ef5Hkc50264,167656356,Texas, USA,48.0,2.0
7350,Chrysler,Doors,2015,Clean Vehicle,88227,Black,  1C3Cccab7Fn613884,167755375,Pennsylvania, USA,48.0,2.0
24500,BMW,Doors,2017,Clean Vehicle,17626,Gray,  Wba4F9C51Hg439932,167765094,Michigan, USA,48.0,2.0
9300,Ford,Doors,2017,Clean Vehicle,120353,White,  1Ftfw1Ef4Hkc50286,167656357,Texas, USA,48.0,2.0
39800,Dodge,Challenger,2015,Clean Vehicle,3641,White,  2C3Cdzc95Fh757310,167755377,Pennsylvania, USA,48.0,2.0
53500,BMW,M,2017,Clean Vehicle,29355,Blue,  5Ymkt6C37H0X20696,167765095,Michigan, USA,48.0,2.0
15110,Ford,Doors,2017,Clean Vehicle,39333,Black,  1Ft7W2Bt7Hec41164,167656358,Texas, USA,48.0,2.0
34000,Ford,Doors,2015,Clean Vehicle,42930,White,  1Ft8W3B61Fec52078,167755448,Pennsylvania, USA,48.0,2.0
26502,Chevrolet,Colorado,2017,Clean Vehicle,24993,Black,  1Gcgtcen4H1158648,167765108,Michigan, USA,20.0,0.83
5990,Ford,MPV,2017,Clean Vehicle,44929,Black,  1Fm5K7B86Hga87008,167656359,Texas, USA,48.0,2.0
13600,Ford,Focus,2018,Clean Vehicle,16971,Black,  1Fadp3M26Jl307477,167755490,South Carolina, USA,21.0,0.88
23605,Cadillac,Doors,2017,Clean Vehicle,35598,Gray,  1Gyknbrsxhz114969,167765109,Michigan, USA,48.0,2.0
10780,Ford,MPV,2017,Clean Vehicle,40455,White,  1Fm5K8Ht0Hga07252,167656360,Texas, USA,48.0,2.0
13800,Ford,Focus,2018,Clean Vehicle,23164,White,  1Fadp3J2Xjl279400,167755491,South Carolina, USA,21.0,0.88
25201,Cadillac,Doors,2017,Clean Vehicle,19011,No_Color,  1Gyknbrs8Hz257399,167765111,Michigan, USA,48.0,2.0
7070,Ford,MPV,2017,Clean Vehicle,45191,White,  1Fm5K7D82Hgb39148,167656361,Texas, USA,48.0,2.0
8700,Ford,Focus,2018,Clean Vehicle,21405,White,  1Fadp3K23Jl219764,167755494,South Carolina, USA,21.0,0.88
18003,Chevrolet,Malibu,2017,Clean Vehicle,19117,No_Color,  1G1Zh5Sx7Hf141060,167765112,Michigan, USA,17.0,0.71
8530,Ford,Doors,2017,Clean Vehicle,42104,Black,  1Fm5K7F80Hga03159,167656362,Texas, USA,48.0,2.0
23100,Dodge,Durango,2018,Clean Vehicle,49496,White,  1C4Rdjdg2Jc329601,167755496,South Carolina, USA,21.0,0.88
24500,Cadillac,Doors,2017,Clean Vehicle,32418,White,  1Gykndrs1Hz125239,167765114,Michigan, USA,48.0,2.0
7000,Ford,MPV,2017,Clean Vehicle,29882,White,  1Fm5K7D84Hgc31359,167656363,Texas, USA,48.0,2.0
17000,Ford,Escape,2018,Clean Vehicle,34819,Gold,  1Fmcu9Hd6Juc54783,167755501,South Carolina, USA,21.0,0.88
34002,Chevrolet,1500,2017,Clean Vehicle,31923,White,  3Gcuktej3Hg475034,167765115,Michigan, USA,48.0,2.0
6980,Ford,MPV,2017,Clean Vehicle,29168,Gray,  1Fm5K7D8Xhga68751,167656364,Texas, USA,48.0,2.0
25000,Dodge,Charger,2018,Clean Vehicle,28307,Silver,  2C3Cdxjg6Jh224431,167755814,Michigan, USA,21.0,0.88
20802,Chevrolet,Colorado,2017,Clean Vehicle,33791,Turquoise,  1Gcgtben3H1180134,167765116,Michigan, USA,48.0,2.0
9200,Ford,Doors,2017,Clean Vehicle,21770,Black,  1Ftew1Ep8Hfa10123,167656365,Texas, USA,48.0,2.0
26500,Chrysler,Pacifica,2017,Clean Vehicle,18375,Gray,  2C4Rc1Eg2Hr669530,167755839,Michigan, USA,21.0,0.88
24802,Chevrolet,Colorado,2017,Clean Vehicle,14158,Gray,  1Gcgtcen9H1202076,167765119,Michigan, USA,48.0,2.0
7070,Ford,MPV,2017,Clean Vehicle,30318,Black,  1Fm5K7D82Hgb21314,167656366,Texas, USA,48.0,2.0
28500,Ford,Doors,2017,Clean Vehicle,48086,Red,  1Ftew1Ep2Hkd15978,167755890,South Carolina, USA,21.0,0.88
47500,Cadillac,Doors,2017,Clean Vehicle,26562,Black,  1Gys4Ckj7Hr359884,167765120,Michigan, USA,48.0,2.0
23500,Ford,Explorer,2017,Clean Vehicle,57611,Black,  1Fm5K8F80Hgc67231,167755891,South Carolina, USA,21.0,0.88
23505,Chevrolet,Colorado,2017,Clean Vehicle,47357,Black,  1Gcptce16H1176629,167765121,Michigan, USA,2.0,0.08
10940,Ford,Doors,2017,Clean Vehicle,84916,White,  1Ftew1Ef1Hke25038,167656368,Texas, USA,48.0,2.0
32100,Ford,F-150,2017,Clean Vehicle,24521,Gray,  1Ftfw1Eg1Hfb38806,167755893,South Carolina, USA,21.0,0.88
53000,Chevrolet,3500,2018,Clean Vehicle,16105,Black,  1Gc4K1Ey0Jf149152,167765123,Washington, USA,21.0,0.88
6830,Ford,MPV,2017,Clean Vehicle,35888,Gold,  1Fm5K7Dh9Hgb05630,167656369,Texas, USA,48.0,2.0
11900,Dodge,Caravan,2017,Clean Vehicle,59537,Gray,  2C4Rdgcg3Hr864989,167755906,South Carolina, USA,21.0,0.88
26414,Chevrolet,1500,2017,Clean Vehicle,55222,Black,  3Gcukrec3Hg429109,167765140,Michigan, USA,20.0,0.83
4160,Dodge,MPV,2018,Clean Vehicle,32870,Gray,  3C4Pdcab8Jt166940,167656464,Florida, USA,17.0,0.71
19405,Chevrolet,Doors,2017,Clean Vehicle,39687,Silver,  1Gnkvgkd0Hj145877,167765141,Michigan, USA,3.0,0.12
5690,Dodge,MPV,2018,Clean Vehicle,47085,Silver,  2C4Rdgeg8Jr337145,167656466,Florida, USA,17.0,0.71
25900,Chrysler,VAN,2017,Clean Vehicle,32224,Silver,  2C4Rc1Gg4Hr635019,167756044,South Carolina, USA,21.0,0.88
24005,Chevrolet,1500,2017,Clean Vehicle,51293,Beige,  1Gcukrecxhf153500,167765146,Michigan, USA,20.0,0.83
5090,Dodge,MPV,2018,Clean Vehicle,42989,Gray,  2C4Rdgcg2Jr218218,167656467,Florida, USA,17.0,0.71
19500,Chrysler,300,2017,Clean Vehicle,31311,Gray,  2C3Ccabg5Hh538726,167756093,Arizona, USA,34.0,1.42
32012,Chevrolet,1500,2017,Clean Vehicle,46091,White,  3Gcuksej6Hg353147,167765148,Michigan, USA,48.0,2.0
6800,Dodge,Dart,2016,Clean Vehicle,49033,Black,  1C3Cdffh0Gd823262,167756148,Michigan, USA,48.0,2.0
4260,Dodge,MPV,2018,Clean Vehicle,33957,Gray,  3C4Pdcabxjt311007,167656471,Florida, USA,16.0,0.67
0,Dodge,VAN,2008,Salvage Insurance,177948,Orange,  2D8Hn44H88R669549,167756157,Utah, USA,48.0,2.0
31802,Chevrolet,2500,2017,Clean Vehicle,19845,Silver,  1Gc1Kveg3Hf189737,167765152,Michigan, USA,20.0,0.83
7210,Dodge,Doors,2018,Clean Vehicle,38910,Black,  2C3Cdxct1Jh233225,167656472,Florida, USA,16.0,0.67
0,Dodge,Doors,2014,Salvage Insurance,123660,Silver,  1C3Cdzab0En111068,167756167,Utah, USA,48.0,2.0
28402,Chevrolet,1500,2017,Clean Vehicle,31234,Black,  3Gcukrec4Hg196549,167765157,Michigan, USA,48.0,2.0
6800,Dodge,Doors,2018,Clean Vehicle,36767,Gray,  2C3Cdxhgxjh125388,167656473,Florida, USA,16.0,0.67
33300,Cadillac,ESV,2015,Clean Vehicle,57932,Gray,  1Gys4Tkj0Fr538846,167765183,Washington, USA,21.0,0.88
10780,Dodge,MPV,2018,Clean Vehicle,19420,White,  1C4Sdjct1Jc174166,167656474,Florida, USA,16.0,0.67
6700,Ford,Cutaway,2014,Clean Vehicle,204155,Beige,  1Fdfe4Fs7Eda23699,167756194,Pennsylvania, USA,72.0,3.0
20000,Chevrolet,1500,2016,Clean Vehicle,93493,White,  3Gcuknec9Gg342967,167765203,Washington, USA,21.0,0.88
6440,Chrysler,Doors,2018,Clean Vehicle,20942,Gray,  2C3Ccakg8Jh168457,167656475,Florida, USA,17.0,0.71
19900,Ford,Doors,2016,Clean Vehicle,86826,Gray,  1Fm5K8F8Xggc51519,167756205,South Carolina, USA,21.0,0.88
37000,Chevrolet,Doors,2015,Clean Vehicle,45787,White,  1Gc1Kwegxff145382,167765217,Washington, USA,21.0,0.88
4040,Dodge,MPV,2018,Clean Vehicle,50765,Red,  3C4Pdcab6Jt273002,167656476,Florida, USA,16.0,0.67
22300,Ford,Explorer,2016,Clean Vehicle,62774,Black,  1Fm5K8Fh9Ggc37790,167756208,South Carolina, USA,21.0,0.88
31200,Chevrolet,Doors,2011,Clean Vehicle,76326,Gray,  1Gc1Kxc86Bf208814,167765320,Washington, USA,21.0,0.88
4290,Dodge,MPV,2018,Clean Vehicle,39029,White,  3C4Pdcab0Jt474412,167656477,Florida, USA,16.0,0.67
22800,Ford,EL,2016,Clean Vehicle,72885,Silver,  1Fmjk1Ht3Gef52975,167756210,South Carolina, USA,21.0,0.88
19002,Cadillac,Doors,2016,Clean Vehicle,46467,White,  1G6Ah1Rx1G0193887,167765761,Michigan, USA,20.0,0.83
4160,Dodge,MPV,2018,Clean Vehicle,6743,Gray,  3C4Pdcab8Jt384019,167656478,Florida, USA,16.0,0.67
18500,Ford,Edge,2016,Clean Vehicle,33514,White,  2Fmpk3J98Gbb59781,167756214,South Carolina, USA,21.0,0.88
39000,BMW,Series,2016,Clean Vehicle,39917,Blue,  Wba7F2C57Gg421020,167765766,Michigan, USA,48.0,2.0
6060,Dodge,Doors,2018,Clean Vehicle,32504,Black,  3C4Pddgg1Jt523058,167656479,Florida, USA,18.0,0.75
28800,Ford,Doors,2016,Clean Vehicle,77638,White,  1Ftew1Ep1Gfc64335,167756219,South Carolina, USA,21.0,0.88
40000,BMW,Series,2016,Clean Vehicle,31727,Gray,  Wba7F2C55Gg415264,167765767,Michigan, USA,48.0,2.0
6140,Dodge,Doors,2018,Clean Vehicle,52966,Silver,  2C3Cdxbg0Jh187083,167656480,Florida, USA,16.0,0.67
21000,Ford,Flex,2016,Clean Vehicle,24157,Gray,  2Fmhk6C89Gba05297,167756222,South Carolina, USA,21.0,0.88
20105,Buick,Doors,2016,Clean Vehicle,51393,Beige,  5Gakvbkd8Gj196085,167765770,Michigan, USA,20.0,0.83
6760,Dodge,Doors,2018,Clean Vehicle,35461,White,  2C3Cdzag7Jh321665,167656483,Florida, USA,16.0,0.67
25800,Ford,Doors,2014,Clean Vehicle,47055,Brown,  1Ft7X2B62Eea29551,167756277,Pennsylvania, USA,24.0,1.0
39000,BMW,Series,2016,Clean Vehicle,33110,Black,  Wba7F2C57Gg419607,167765776,Michigan, USA,48.0,2.0
5470,Dodge,MPV,2018,Clean Vehicle,39721,Black,  3C4Pdcgg9Jt216280,167656495,Florida, USA,16.0,0.67
14600,Ford,Doors,2014,Clean Vehicle,75785,Black,  1Fm5K8F81Egb23411,167756284,Pennsylvania, USA,21.0,0.88
24502,Chevrolet,1500,2016,Clean Vehicle,33624,Black,  3Gcuknec6Gg150809,167765812,Michigan, USA,20.0,0.83
15110,Ford,Doors,2017,Clean Vehicle,42289,White,  1Ft7W2Bt7Hec67263,167656516,Texas, USA,48.0,2.0
7900,Ford,Doors,2014,Clean Vehicle,79422,White,  1Fmcu0G9Xeud52262,167756290,New York, USA,21.0,0.88
27305,Chevrolet,Doors,2016,Clean Vehicle,28844,Blue,  3Gcukrec5Gg383569,167765813,Michigan, USA,3.0,0.12
15290,Ford,Doors,2017,Clean Vehicle,66582,White,  1Ft7W2Bt0Hef21363,167656517,Texas, USA,48.0,2.0
26500,Ford,Doors,2015,Clean Vehicle,61436,Silver,  1Ftew1Cf3Fke12825,167756321,South Carolina, USA,21.0,0.88
25502,Chevrolet,Doors,2016,Clean Vehicle,58303,Silver,  3Gcukrec0Gg380000,167765816,Michigan, USA,20.0,0.83
7320,Ford,MPV,2017,Clean Vehicle,55618,White,  1Fmzk1Cmxhkb51025,167656518,Texas, USA,48.0,2.0
3800,Chevrolet,VAN,2009,Clean Vehicle,261648,White,  1Gbhg396191112177,167756420,Michigan, USA,48.0,2.0
24502,Chevrolet,Doors,2016,Clean Vehicle,33045,White,  3Gcukrec4Gg223800,167765817,Michigan, USA,20.0,0.83
4140,Ford,Doors,2017,Clean Vehicle,40747,White,  3Fa6P0H73Hr358945,167656519,Texas, USA,48.0,2.0
1400,Dodge,Pickup,2002,Clean Vehicle,185460,Black,  1B7Hg38N62S587845,167756423,Michigan, USA,48.0,2.0
18402,Cadillac,SRX,2016,Clean Vehicle,26667,Gray,  3Gyfnae36Gs538333,167765819,Michigan, USA,48.0,2.0
4160,Ford,Doors,2017,Clean Vehicle,37176,White,  3Fa6P0Hd3Hr199785,167656520,Texas, USA,48.0,2.0
175,Chrysler,Doors,2000,Salvage Insurance,231240,Red,  2C3Hd46R3Yh208325,167756464,North Carolina, USA,72.0,3.0
24503,Chevrolet,Colorado,2016,Clean Vehicle,18006,Brown,  1Gchtde32G1339478,167765821,Michigan, USA,20.0,0.83
15840,Ford,Doors,2017,Clean Vehicle,72445,White,  1Ft7W2Bt8Hec67434,167656521,Texas, USA,48.0,2.0
20500,Ford,Doors,2014,Clean Vehicle,123355,Black,  1Ftfw1Et9Efb99877,167756547,South Carolina, USA,21.0,0.88
21003,Chevrolet,1500,2016,Clean Vehicle,44116,Silver,  1Gcvknec1Gz396932,167765826,Michigan, USA,32.0,1.33
4200,Ford,Doors,2017,Clean Vehicle,60219,Red,  3Fa6P0Hd7Hr273550,167656522,Texas, USA,48.0,2.0
17400,Ford,Doors,2011,Clean Vehicle,135077,Red,  1Ftfw1Ef1Bfa03548,167756635,Georgia, USA,21.0,0.88
32001,Chevrolet,Doors,2016,Clean Vehicle,32058,Black,  3Gcuktec5Gg350066,167765832,Michigan, USA,48.0,2.0
0,Ford,MPV,2017,Clean Vehicle,76858,White,  1Fbax2Cv0Hkb32599,167656523,Texas, USA,48.0,2.0
15700,Ford,CAB,2011,Clean Vehicle,309564,White,  1Fduf5Gt8Bea80212,167756640,South Carolina, USA,21.0,0.88
31009,Chevrolet,Doors,2016,Clean Vehicle,33928,White,  3Gcuksec3Gg369662,167765835,Michigan, USA,48.0,2.0
3740,Ford,Wagon,2017,Clean Vehicle,90618,White,  Nm0Ls7E76H1312963,167656524,Texas, USA,48.0,2.0
5000,Dodge,Pickup,2001,Clean Vehicle,109360,White,  1B7Hc16X01S213315,167756836,Georgia, USA,21.0,0.88
31002,Chevrolet,Doors,2016,Clean Vehicle,71809,White,  1Gc1Kve82Gf207345,167765840,Michigan, USA,20.0,0.83
3160,Ford,Doors,2017,Clean Vehicle,31563,Gray,  1Fadp3E24Hl348263,167656526,Texas, USA,48.0,2.0
8600,Dodge,Pickup,2005,Clean Vehicle,219823,Gray,  3D7Ks28C15G771945,167756840,South Carolina, USA,21.0,0.88
6000,Chevrolet,Malibu,2018,Clean Vehicle,42090,Gray,  1G1Zb5St8Jf226848,167765944,Texas, USA,21.0,0.88
12990,Ford,Doors,2017,Clean Vehicle,126523,White,  1Ft7W2B60Hec03964,167656527,Texas, USA,48.0,2.0
25,Chevrolet,Vehicle,2020,Salvage Insurance,7232,Black,  2Gnaxkev6L6128374,167756877,Kentucky, USA,72.0,3.0
13200,Buick,Encore,2017,Clean Vehicle,60171,Black,  Kl4Cjcsb1Hb024411,167765959,Texas, USA,21.0,0.88
